rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
1,0.12,gradient_boosting,0.10522005258847364,26.678677320480347,2065,0.0933181985813565,0,1724898076.3657687,1724898103.0826507,25.0,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Random Search
2,0.02,random_forest,0.10642700116384328,307.4851014614105,2238,0.006264637843585212,0,1724898775.6041834,1724899083.2128866,100.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
3,0.26,random_forest,0.10655631708263286,121.30221009254456,492,0.07393996867681077,0,1724891381.3383448,1724891502.6751246,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search (sorted)
4,0.08,random_forest,0.10659942238889607,337.3709247112274,1825,0.004368004368004365,0,1724897181.446787,1724897518.9239159,100.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
5,0.02,sgd,0.10698737014526485,32.74675178527832,3118,0.10576605313447418,0,1724901791.6620634,1724901824.4369574,100.0,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
6,0.04,random_forest,0.10707358075779128,192.01339888572693,3621,0.00367831946779315,0,1724903591.1028993,1724903784.3575168,100.0,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Local Search
7,0.02,gradient_boosting,0.11034958403379452,104.39462375640869,415,0.05820653189074242,0,1724891053.6912315,1724891158.1003034,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
8,0.12,gradient_boosting,0.1161688003793267,70.26567554473877,1725,0.03414419203892887,0,1724896719.893462,1724896790.1817474,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
9,0.02,gradient_boosting,0.12039312039312039,69.10011672973633,952,0.02021638863744127,0,1724893400.44556,1724893469.5666356,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
